type,job_board,employer,month,year,count
paid,SCB,gov,12,2015,4
unpaid,SCB,gov,12,2015,1
pay_to_work,SCB,gov,12,2015,0
unclear,SCB,gov,12,2015,0
paid,SCB,academic,12,2015,4
unpaid,SCB,academic,12,2015,0
pay_to_work,SCB,academic,12,2015,0
unclear,SCB,academic,12,2015,0
paid,SCB,nonprofit,12,2015,6
unpaid,SCB,nonprofit,12,2015,17
pay_to_work,SCB,nonprofit,12,2015,5
unclear,SCB,nonprofit,12,2015,0
paid,SCB,other,12,2015,0
unpaid,SCB,other,12,2015,1
pay_to_work,SCB,other,12,2015,0
unclear,SCB,other,12,2015,0
