type,job_board,employer,month,year,count
paid,conservationjobboard,gov,12,2015,2
unpaid,conservationjobboard,gov,12,2015,0
pay_to_work,conservationjobboard,gov,12,2015,0
unclear,conservationjobboard,gov,12,2015,0
paid,conservationjobboard,academic,12,2015,1
unpaid,conservationjobboard,academic,12,2015,0
pay_to_work,conservationjobboard,academic,12,2015,0
unclear,conservationjobboard,academic,12,2015,0
paid,conservationjobboard,nonprofit,12,2015,2
unpaid,conservationjobboard,nonprofit,12,2015,0
pay_to_work,conservationjobboard,nonprofit,12,2015,0
unclear,conservationjobboard,nonprofit,12,2015,0
paid,conservationjobboard,other,12,2015,0
unpaid,conservationjobboard,other,12,2015,0
pay_to_work,conservationjobboard,other,12,2015,0
unclear,conservationjobboard,other,12,2015,0
