type,job_board,employer,month,year,count
paid,conservationjobboard,gov,1,2016,2
unpaid,conservationjobboard,gov,1,2016,0
pay_to_work,conservationjobboard,gov,1,2016,0
unclear,conservationjobboard,gov,1,2016,0
paid,conservationjobboard,academic,1,2016,1
unpaid,conservationjobboard,academic,1,2016,0
pay_to_work,conservationjobboard,academic,1,2016,0
unclear,conservationjobboard,academic,1,2016,0
paid,conservationjobboard,nonprofit,1,2016,5
unpaid,conservationjobboard,nonprofit,1,2016,1
pay_to_work,conservationjobboard,nonprofit,1,2016,0
unclear,conservationjobboard,nonprofit,1,2016,0
paid,conservationjobboard,other,1,2016,0
unpaid,conservationjobboard,other,1,2016,0
pay_to_work,conservationjobboard,other,1,2016,1
unclear,conservationjobboard,other,1,2016,0
