"","listing_url","date_posted","job_title","agency","position_type","salary"
"1","http://wfscjobs.tamu.edu/jobs/vegetation-monitoring-field-technician-salmon-idaho/",2016-02-29,"Vegetation Monitoring Field Technician, Salmon, Idaho","The Great Basin Institute","Temporary/Seasonal Positions","$15/hour, $15/day field per diem and $75/week housing stipend"
"2","http://wfscjobs.tamu.edu/jobs/vegetation-monitoring-field-lead-salmon-idaho-2/",2016-02-29,"Vegetation Monitoring Field Lead, Salmon, Idaho","The Great Basin Institute","Temporary/Seasonal Positions","$1,360 bi-weekly, $15/day field per diem and $75/week housing stipend"
"3","http://wfscjobs.tamu.edu/jobs/vegetationhabitat-monitoring-field-lead-blm-oregon/",2016-02-29,"Vegetation/Habitat Monitoring Field Lead, BLM Oregon","The Great Basin Institute","Temporary/Seasonal Positions","$1,360 bi-weekly, $15/day field per diem and $75/week housing stipend"
"4","http://wfscjobs.tamu.edu/jobs/naturewildlife-guide-training-fgasa-south-africa/",2016-02-29,"Nature/Wildlife Guide training (FGASA) South Africa","Intern Africa","Internships","o"
"5","http://wfscjobs.tamu.edu/jobs/animal-behavior-research-south-africa/",2016-02-29,"Animal behavior Research South Africa","Intern Africa","Internships",NA
"6","http://wfscjobs.tamu.edu/jobs/research-in-south-africa-topic-breeding-wildlife/",2016-02-29,"Research in South Africa. Topic: Breeding wildlife","Intern Africa","Internships",NA
"7","http://wfscjobs.tamu.edu/jobs/avian-field-assistants-china/",2016-02-29,"AVIAN FIELD ASSISTANTS: China","Beijing Normal University","Volunteer Openings","All expenses in China during work period (i.e. housing, foods, and local travels, etc.) will be covered, but there is no salary, and the assistants are responsible for their travel to and from China."
"8","http://wfscjobs.tamu.edu/jobs/alternative-agriculture-internship-wyoming/",2016-02-29,"Alternative Agriculture Internship- Wyoming","440 Ranch/Doyle Family Farm","Internships","$800/month + room and board"
"9","http://wfscjobs.tamu.edu/jobs/vessel-driver-washington/",2016-02-29,"Vessel Driver: Washington","Soundwatch Boater Educaiton Program, The Whale Museum","Temporary/Seasonal Positions","Half and Full day pay rates"
"10","http://wfscjobs.tamu.edu/jobs/americorps-member-ace-utah-specialized-chainsaw-training/",2016-02-26,"AmeriCorps Member- ACE Utah (Specialized Chainsaw Training)","American Conservation Experience","Internships","Stipend, Education Award and Housing provided"
"11","http://wfscjobs.tamu.edu/jobs/ranchfawn-care-internship-texas/",2016-02-26,"Ranch/Fawn Care Internship: Texas","White Ghost Ranch","Internships","paid"
"12","http://wfscjobs.tamu.edu/jobs/sous-chef-maine/",2016-02-26,"Sous Chef: Maine","National Audubon Society","Temporary/Seasonal Positions","hourly"
"13","http://wfscjobs.tamu.edu/jobs/kitchen-assistant-maine-2/",2016-02-26,"Kitchen Assistant: Maine","National Audubon Society","Temporary/Seasonal Positions","hourly"
"14","http://wfscjobs.tamu.edu/jobs/facilities-assistant-maine/",2016-02-26,"Facilities Assistant: Maine","National Audubon Society","Temporary/Seasonal Positions","hourly"
"15","http://wfscjobs.tamu.edu/jobs/field-technician-canada/",2016-02-26,"Field Technician: Canada","University of New Brunswick","Temporary/Seasonal Positions","$5000 for the summer"
"16","http://wfscjobs.tamu.edu/jobs/conservation-aide-montana-2/",2016-02-26,"Conservation Aide: Montana","Montana ","Temporary/Seasonal Positions","12.35  Hourly"
"17","http://wfscjobs.tamu.edu/jobs/conservation-technician-4-supervisor-east-montana/",2016-02-26,"Conservation Technician 4 Supervisor East: Montana","Montana ","Temporary/Seasonal Positions","16.94  Hourly"
"18","http://wfscjobs.tamu.edu/jobs/bay-area-conservation-crew-leader-california/",2016-02-26,"Bay Area Conservation Crew Leader: California","The Student Conservation Association","Temporary/Seasonal Positions","Compensation:  TBD. Total salary depending on experience & crew length"
"19","http://wfscjobs.tamu.edu/jobs/nr-tech-duck-bander-s-and-central-minnesota-crews/",2016-02-26,"NR Tech – Duck Bander (S. and Central Minnesota crews)","MN DNR","Temporary/Seasonal Positions","16.21/hour"
"20","http://wfscjobs.tamu.edu/jobs/wilderness-instructor-w-spanish-speaking-skills-preferred/",2016-02-26,"Wilderness Instructor (w/ Spanish speaking skills preferred)","Broadreach","Temporary/Seasonal Positions","Depends on Experience"
